Safra;COD_PROD;Local;Cod_Estacao_Met;Altitude;Terras;Ambiente;Cultivar;Cultura_Ant;Epoca_de_semeadura;N_base;P_base;K_base;Produtividade;GMR;N_Plantas;Espacamento;Area_colhida;Populacao;Temperatura_Max;Precipitacao_Total;Umidade_Med;Radiacao_Med;PH;ARGILA;P.mg.L.;K.mg.L.;M_O;CTC.PH7;SATURACAO.DE.BASE...;SATURACAO.Al...;Latitude;Longitude
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;AS 3595 I2X;azevem;23/11/2021;13,5;69;0;852,1471903;5,9;119,5;0,45;5,4;22,12962963;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;AS 3615 I2X;azevem;23/11/2021;13,5;69;0;714,5232014;6,1;112,5;0,45;5,4;20,83333333;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;BMX COMPACTA IPRO;azevem;23/11/2021;13,5;69;0;901,2228607;6,5;116,75;0,45;5,4;21,62037037;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;BMX CROMO TF IPRO;azevem;23/11/2021;13,5;69;0;910,4959558;5,6;65,75;0,45;5,4;12,17592593;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;BMX LOTUS IPRO;azevem;23/11/2021;13,5;69;0;788,0656663;6,1;99;0,45;5,4;18,33333333;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;BMX TORQUE I2X;azevem;23/11/2021;13,5;69;0;667,296722;5,7;106,5;0,45;5,4;19,72222222;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;BMX ZEUS IPRO;azevem;23/11/2021;13,5;69;0;537,0487442;5,5;100,5;0,45;5,4;18,61111111;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;C 2531 E;azevem;23/11/2021;13,5;69;0;299,8510004;5,3;109;0,45;5,4;20,18518519;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;C 2570 RR;azevem;23/11/2021;13,5;69;0;490,3916561;5,7;127,5;0,45;5,4;23,61111111;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
2021/2022;AG117;ALEGRETE;A826;117;BAIXAS;SEQUEIRO;C 2600 IPRO;azevem;23/11/2021;13,5;69;0;891,5197956;6;142,75;0,45;5,4;26,43518519;25,07800709;514,8;64,75121986;23423,67902;4,8;27;3,6;88;1,2;15,4;37,2;7,9;-29,657;-55,746194
